source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,season,hops,direct,window,n_years,fill_share_pct,pair_impact_pct_of_target_runoff,source_delta_storage_mcm,activity_share_pct,drawdown_share_pct,pair_impact_ratio,area_coverage_pct,runoff_coverage_pct,pair_impact_days,target_full_runoff_mcm,source_full_runoff_mcm,signed_storage_change_share_pct
21623,22796,17311,22853,dry,1,1,2016-2021,6,4.759647,-58.122646,-12.314433,1.698751,2.553063,-0.581226,0.53248,0.603228,-52.618676,27.231955,0.163358,1.158787
26992,22794,17311,22853,dry,1,1,2016-2021,6,0.922265,-138.381618,-23.368667,2.480092,3.633211,-1.383816,0.53248,0.603228,-125.365196,27.231955,0.163358,2.552717
44124,22795,17311,22853,dry,1,1,2016-2021,6,10.755399,-197.067224,-20.5435,4.3993,5.510048,-1.970672,2.021205,1.95377,-178.580774,27.231955,0.668954,4.88307
45325,22805,17311,22853,dry,1,1,2016-2021,6,,-275.027264,-56.032,8.150045,14.993999,-2.750273,0.97693,0.956452,-248.620885,27.231955,0.29947,5.619607
70830,10451,17311,22853,dry,1,1,2016-2021,6,,-738.585586,-86.9275,14.18337,17.589798,-7.385856,3.318143,3.286234,-669.329623,27.231955,1.086737,16.537974
77528,6576,17311,22853,dry,1,1,2016-2021,6,,-1804.127983,-295.541667,30.944224,35.013041,-18.04128,55.96254,59.00892,-1635.220818,27.231955,14.172323,30.819143
64733,22804,17311,22853,dry,2,0,2016-2021,6,,-246.980651,-50.961167,8.318982,11.435018,-2.469807,0.525348,0.457017,-223.403389,27.231955,0.163804,11.522258
76686,10459,17311,22853,dry,2,0,2016-2021,5,88.260246,-78.125736,27.98,18.72461,7.093735,-0.781257,7.79976,6.764576,-70.333273,24.226469,2.392605,31.281733
23471,22818,17311,22853,dry,3,0,2016-2021,6,36.662335,-2.621512,-0.860717,0.315999,0.970128,-0.026215,8.207418,7.645238,-2.333419,27.231955,2.82221,-0.035273
68612,10457,17311,22853,dry,3,0,2016-2021,6,13.015932,-468.332305,-52.0675,9.742064,14.556595,-4.683323,3.896252,3.597761,-424.198882,27.231955,1.256136,6.17286
47377,22814,17311,22853,dry,4,0,2016-2021,4,57.453866,75.129617,27.077,6.244998,,0.751296,0.946313,0.825912,67.704041,28.136904,0.291973,-7.94888
21623,22796,17311,22853,pre_monsoon,1,1,2016-2021,6,0.519232,-40.361652,-8.3424,1.729912,4.497633,-0.403617,0.53248,0.417658,-36.729104,24.570122,0.107474,1.826457
26992,22794,17311,22853,pre_monsoon,1,1,2016-2021,6,3.048642,-151.862431,-24.237283,5.577085,8.656559,-1.518624,0.53248,0.417658,-138.194812,24.570122,0.107474,7.334351
