source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,year,season,hops,direct,source_delta_storage_mcm,source_full_runoff_mcm,target_full_runoff_mcm,pair_impact_ratio,pair_impact_pct_of_target_runoff,pair_impact_days,runoff_coverage_pct,area_coverage_pct,activity_share_pct,drawdown_share_pct,fill_share_pct,signed_storage_change_share_pct
23471,22818,17311,22853,2004,pre_monsoon,3,0,0.0731,0.463837,16.427396,0.00445,0.444988,0.404939,2.823555,8.207418,0.035925,,0.132173,-0.078713
68612,10457,17311,22853,2004,pre_monsoon,3,0,-47.311,0.271464,16.427396,-2.880006,-288.000605,-262.080551,1.652507,3.896252,23.250808,31.929138,,50.943857
47377,22814,17311,22853,2004,pre_monsoon,4,0,-1.417,0.050627,16.427396,-0.086258,-8.625835,-7.849509,0.308185,0.946313,0.696379,0.956302,,1.525807
21623,22796,17311,22853,2004,monsoon,1,1,0.119,0.19645,60.041126,0.001982,0.198197,0.182342,0.327193,0.53248,0.056633,,0.06243,0.06955
26992,22794,17311,22853,2004,monsoon,1,1,-6.059,0.19645,60.041126,-0.100914,-10.091416,-9.284103,0.327193,0.53248,2.883511,31.051094,,-3.541208
44124,22795,17311,22853,2004,monsoon,1,1,0.0,0.295477,60.041126,0.0,0.0,0.0,0.492125,2.021205,0.0,,,0.0
45325,22805,17311,22853,2004,monsoon,1,1,0.0,0.219204,60.041126,0.0,0.0,0.0,0.36509,0.97693,0.0,,,0.0
70830,10451,17311,22853,2004,monsoon,1,1,-3.51,0.59066,60.041126,-0.05846,-5.845993,-5.378313,0.98376,3.318143,1.670428,17.988008,,-2.051434
77528,6576,17311,22853,2004,monsoon,1,1,40.75,52.392811,60.041126,0.678701,67.870146,62.440534,87.261539,55.96254,19.393144,,21.378417,23.816509
64733,22804,17311,22853,2004,monsoon,2,0,-9.283,0.056247,60.041126,-0.154611,-15.461069,-14.224184,0.093681,0.525348,4.41783,47.573413,,-5.425489
76686,10459,17311,22853,2004,monsoon,2,0,49.7,0.920287,60.041126,0.827766,82.776595,76.154467,1.532762,7.79976,23.652498,,26.0738,29.047375
23471,22818,17311,22853,2004,monsoon,3,0,0.1548,0.959629,60.041126,0.002578,0.257823,0.237197,1.598286,8.207418,0.07367,,0.081212,0.090474
