target_gww_id,target_gdw_id,year,season,upstream_count,target_full_runoff_mcm,target_delta_storage_mcm,upstream_delta_storage_mcm,system_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,upstream_impact_ratio,upstream_impact_pct_of_target_runoff,upstream_impact_days,system_impact_ratio,system_impact_pct_of_target_runoff,system_impact_days,upstream_drawdown_pct_of_target_runoff,upstream_fill_pct_of_target_runoff
8578,22909,2010,pre_monsoon,0,9.645147,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2010,monsoon,0,51.969182,-0.0045,0.0,-0.0045,0,0,0.0,0.0,0.0,-8.7e-05,-0.008659,-0.007966,0.0,0.0
8578,22909,2010,winter,0,55.168994,-0.0182,0.0,-0.0182,0,0,0.0,0.0,0.0,-0.00033,-0.03299,-0.03035,0.0,0.0
8578,22909,2011,dry,0,3.915456,-0.0325,0.0,-0.0325,0,0,0.0,0.0,0.0,-0.0083,-0.830044,-0.74704,0.0,0.0
8578,22909,2011,pre_monsoon,0,15.111794,-0.0503,0.0,-0.0503,0,0,0.0,0.0,0.0,-0.003329,-0.332853,-0.302896,0.0,0.0
8578,22909,2011,monsoon,0,54.823904,-0.0697,0.0,-0.0697,0,0,0.0,0.0,0.0,-0.001271,-0.127134,-0.116964,0.0,0.0
8578,22909,2011,winter,0,36.160089,-0.0884,0.0,-0.0884,0,0,0.0,0.0,0.0,-0.002445,-0.244468,-0.224911,0.0,0.0
8578,22909,2012,dry,0,2.860354,-0.1079,0.0,-0.1079,0,0,0.0,0.0,0.0,-0.037723,-3.772261,-3.432757,0.0,0.0
8578,22909,2012,pre_monsoon,0,11.967479,-0.1324,0.0,-0.1324,0,0,0.0,0.0,0.0,-0.011063,-1.106332,-1.006762,0.0,0.0
8578,22909,2012,monsoon,0,54.827983,-0.1592,0.0,-0.1592,0,0,0.0,0.0,0.0,-0.002904,-0.290363,-0.267134,0.0,0.0
8578,22909,2012,winter,0,29.771607,-0.1823,0.0,-0.1823,0,0,0.0,0.0,0.0,-0.006123,-0.612328,-0.563342,0.0,0.0
8578,22909,2013,dry,0,1.230359,-1.2877,0.0,-1.2877,0,0,0.0,0.0,0.0,-1.046605,-104.66047,-94.194423,0.0,0.0
8578,22909,2013,pre_monsoon,0,15.658546,-0.7669,0.0,-0.7669,0,0,0.0,0.0,0.0,-0.048976,-4.897645,-4.456857,0.0,0.0
8578,22909,2013,monsoon,0,70.069541,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2013,winter,0,25.602713,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2014,dry,0,1.605746,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2014,pre_monsoon,0,9.218655,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2014,monsoon,0,53.793675,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2014,winter,0,17.660841,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2015,dry,0,2.25419,-0.38021,0.0,-0.38021,0,0,0.0,0.0,0.0,-0.168668,-16.866813,-15.180132,0.0,0.0
8578,22909,2015,pre_monsoon,0,3.896599,-0.83015,0.0,-0.83015,0,0,0.0,0.0,0.0,-0.213045,-21.304474,-19.387071,0.0,0.0
8578,22909,2015,monsoon,0,34.749992,-0.12667,0.0,-0.12667,0,0,0.0,0.0,0.0,-0.003645,-0.364518,-0.335357,0.0,0.0
8578,22909,2015,winter,0,25.980714,-0.00763,0.0,-0.00763,0,0,0.0,0.0,0.0,-0.000294,-0.029368,-0.027019,0.0,0.0
8578,22909,2016,dry,0,1.366073,-0.00409,0.0,-0.00409,0,0,0.0,0.0,0.0,-0.002994,-0.299398,-0.272453,0.0,0.0
8578,22909,2016,pre_monsoon,0,6.725626,-0.00099,0.0,-0.00099,0,0,0.0,0.0,0.0,-0.000147,-0.01472,-0.013395,0.0,0.0
8578,22909,2016,monsoon,0,37.824882,0.00124,0.0,0.00124,0,0,0.0,0.0,0.0,3.3e-05,0.003278,0.003016,0.0,0.0
8578,22909,2016,winter,0,56.524673,0.00387,0.0,0.00387,0,0,0.0,0.0,0.0,6.8e-05,0.006847,0.006299,0.0,0.0
